trip_id,start,dest,dijkstra_fastest_time_s,dijkstra_fastest_carbon_g,dijkstra_greenest_time_s,dijkstra_greenest_carbon_g,ppo_fastest_time_s,ppo_fastest_carbon_g,ppo_fastest_success,ppo_time_biased_time_s,ppo_time_biased_carbon_g,ppo_time_biased_success,ppo_balanced_time_s,ppo_balanced_carbon_g,ppo_balanced_success,ppo_carbon_biased_time_s,ppo_carbon_biased_carbon_g,ppo_carbon_biased_success,ppo_greenest_time_s,ppo_greenest_carbon_g,ppo_greenest_success
40,622720970,49791736,859.3631155190961,3716.8550422645208,889.0530439531174,3533.808200735982,969.0476027187691,3906.949241048355,True,1101.2355014576005,4796.718096906328,True,1113.6340112331618,4858.819564361405,True,1020.7670875805331,4493.133411566073,True,,,False
41,9130918414,876615374,560.0406104620249,2490.9768590764534,584.2298786877783,2433.410998446123,,,False,809.5131352928338,3813.8102145639245,True,,,False,,,False,,,False
42,641116216,49773040,336.9757242751242,1319.108773074876,336.9757242751242,1319.108773074876,,,False,,,False,,,False,,,False,,,False
43,49719895,7236199254,842.2342539995303,3084.1002560355137,853.9649474475987,2973.817421022256,,,False,,,False,,,False,,,False,,,False
44,49855611,641116230,584.4709357524307,2601.818759205841,595.4492896867141,2492.4841185092578,585.5324677775601,2665.335325560921,True,587.4441279364523,2623.303770107329,True,,,False,593.7273481917852,2570.2619224434293,True,,,False
45,9676234033,3001484259,435.8436745108096,1606.270931285139,453.74593778889164,1601.7751847822576,,,False,447.6223328778911,1677.0152330355677,True,,,False,446.8067731329184,1673.131704670257,True,441.6779909189552,1664.9893068937145,True
46,49810831,655247774,88.79116226993636,358.53880427769855,89.7723747693911,348.00353130475963,,,False,89.7723747693911,348.00353130475963,True,,,False,,,False,,,False
47,49770640,49854037,531.0919667625542,2068.279894873775,531.6213584743969,1982.1987279586046,,,False,,,False,534.5594865685106,2063.872350303256,True,,,False,,,False
48,3302325145,49728817,513.2060491337261,2036.8047168290955,513.2060491337261,2036.8047168290955,,,False,,,False,,,False,,,False,,,False
49,49849919,49745232,740.5084291719675,3201.2831101092834,741.3899634394015,3164.9547033644512,781.7354872565742,3443.057523734676,True,781.7354872565742,3443.057523734676,True,783.4302749187609,3399.479357719445,True,798.1493238813388,3396.1131483698155,True,,,False
50,5558783202,647030736,882.6577422003852,3750.004113354756,904.9397240875569,3572.2210697542782,,,False,,,False,1031.1022253937792,4444.181972655898,True,,,False,,,False
